label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v
C,0.4769912362098694,0.18094879388809204,-0.034729138016700745,0.9997782707214355,0.5119481682777405,0.21874020993709564,-0.12110304832458496,0.9999751448631287,0.5027922987937927,0.23021234571933746,0.14827805757522583,0.9967033863067627,0.4995696246623993,0.3207131326198578,0.17638078331947327,0.012416370213031769,0.49781882762908936,0.3060096800327301,-0.15039300918579102,0.9927437901496887,0.47762182354927063,0.27498698234558105,0.10697101801633835,0.018294479697942734,0.458720326423645,0.2662055492401123,-0.08007141202688217,0.9683529734611511,0.5134572386741638,0.4205961227416992,-0.08615445345640182,0.9990090727806091,0.5082640051841736,0.42429953813552856,0.08632438629865646,0.9950142502784729
C,0.47967544198036194,0.17888477444648743,-0.09710308909416199,0.999672532081604,0.5136063694953918,0.21723078191280365,-0.13556337356567383,0.99997478723526,0.503055989742279,0.23124605417251587,0.15032559633255005,0.9940138459205627,0.5013929009437561,0.3255726993083954,0.18395371735095978,0.015233726240694523,0.5052500367164612,0.31319499015808105,-0.17330136895179749,0.9944724440574646,0.47224438190460205,0.3216576874256134,0.0760045200586319,0.028451696038246155,0.45091068744659424,0.3155253231525421,-0.142969012260437,0.9786053895950317,0.5151095986366272,0.4212075173854828,-0.08819945156574249,0.9985433220863342,0.5088064670562744,0.42486125230789185,0.088391974568367,0.9923586845397949
C,0.48027706146240234,0.1776709109544754,-0.10791368782520294,0.9995719194412231,0.5133330821990967,0.2172122299671173,-0.14133965969085693,0.9999753832817078,0.5037767887115479,0.23093755543231964,0.1501985341310501,0.9930839538574219,0.5024263262748718,0.32623618841171265,0.1895522177219391,0.01496049016714096,0.504866898059845,0.317672461271286,-0.16998498141765594,0.9949551820755005,0.47498029470443726,0.33180251717567444,0.08698610961437225,0.027823414653539658,0.4492150843143463,0.3249009847640991,-0.13761179149150848,0.9801571369171143,0.5154290795326233,0.4213816225528717,-0.0884847342967987,0.9982308149337769,0.5099645853042603,0.42477214336395264,0.08868608623743057,0.9909337162971497
C,0.4807671010494232,0.1752992868423462,-0.12573370337486267,0.9994546175003052,0.510383129119873,0.21725670993328094,-0.14337050914764404,0.9999755024909973,0.5055376887321472,0.2278338372707367,0.14394453167915344,0.9914716482162476,0.5078006386756897,0.32731691002845764,0.2116391807794571,0.013047934509813786,0.5049129128456116,0.32252469658851624,-0.16852182149887085,0.9955391883850098,0.48833003640174866,0.3526684045791626,0.15081797540187836,0.023948725312948227,0.4496300518512726,0.34370845556259155,-0.1464686393737793,0.9822918772697449,0.5153529644012451,0.4215162694454193,-0.0877716913819313,0.9977741837501526,0.5138537883758545,0.4237384498119354,0.08795696496963501,0.9879736304283142
C,0.4807276129722595,0.17484581470489502,-0.1208927109837532,0.9993929266929626,0.5097671151161194,0.2172817587852478,-0.1461125910282135,0.999975323677063,0.5055415034294128,0.22709371149539948,0.14293670654296875,0.9909462332725525,0.5083203911781311,0.32782477140426636,0.20630130171775818,0.012305933982133865,0.5056108832359314,0.32450684905052185,-0.16851906478405,0.9958441257476807,0.48579418659210205,0.3633865714073181,0.13679516315460205,0.022428741678595543,0.45040422677993774,0.3553383946418762,-0.1447988748550415,0.9833953380584717,0.5153534412384033,0.42168545722961426,-0.08690351992845535,0.997578501701355,0.5139791369438171,0.42349347472190857,0.08704868704080582,0.9865344166755676
C,0.48056724667549133,0.1738436222076416,-0.12648291885852814,0.9992534518241882,0.5082226395606995,0.21733218431472778,-0.14919626712799072,0.9999750256538391,0.505291759967804,0.22626860439777374,0.14227944612503052,0.9903914928436279,0.5090450644493103,0.327475905418396,0.2004690319299698,0.011554871685802937,0.5083386301994324,0.3264961838722229,-0.17481495440006256,0.9961647391319275,0.48240458965301514,0.373468279838562,0.12136024981737137,0.021036196500062943,0.45408275723457336,0.36779212951660156,-0.1565077304840088,0.9845287799835205,0.5153480172157288,0.4223594069480896,-0.08665308356285095,0.997323215007782,0.5148336887359619,0.4233253300189972,0.08677873015403748,0.9849497675895691
C,0.4801831841468811,0.17282642424106598,-0.13084083795547485,0.9991729855537415,0.5069071650505066,0.21763961017131805,-0.15216021239757538,0.9999727010726929,0.5049489140510559,0.22605641186237335,0.1393037885427475,0.9900233745574951,0.5093368887901306,0.32693901658058167,0.19429869949817657,0.010821237228810787,0.5094087719917297,0.32691648602485657,-0.17543527483940125,0.9960334300994873,0.48225629329681396,0.3777719736099243,0.11357814818620682,0.019802013412117958,0.45938655734062195,0.37460294365882874,-0.1538275182247162,0.9834383130073547,0.5153770446777344,0.4224785566329956,-0.08649448305368423,0.9970912933349609,0.5149233341217041,0.422952264547348,0.08660513162612915,0.9839963316917419
C,0.4798327088356018,0.17255447804927826,-0.144639253616333,0.9991827607154846,0.506064236164093,0.21872904896736145,-0.15751728415489197,0.9999703168869019,0.5049474239349365,0.2261277139186859,0.13159772753715515,0.9901241660118103,0.5094614028930664,0.32756316661834717,0.18462425470352173,0.010386822745203972,0.5096039772033691,0.32945626974105835,-0.17578178644180298,0.9956533908843994,0.48447880148887634,0.3865453600883484,0.10452072322368622,0.018789028748869896,0.46196678280830383,0.3834267258644104,-0.1522703766822815,0.9807785153388977,0.5154872536659241,0.4239532947540283,-0.08673153072595596,0.9969738721847534,0.5150220394134521,0.42357975244522095,0.08682862669229507,0.9836456179618835
C,0.4796410799026489,0.17218099534511566,-0.15485167503356934,0.999215304851532,0.5060393810272217,0.21920812129974365,-0.1672622710466385,0.9999701976776123,0.5048500895500183,0.22624100744724274,0.12245438992977142,0.9904224872589111,0.5094273686408997,0.32915088534355164,0.17540644109249115,0.010210396721959114,0.5100610852241516,0.33061349391937256,-0.18922021985054016,0.9956842064857483,0.48514583706855774,0.39333730936050415,0.09576667845249176,0.018295953050255775,0.46451669931411743,0.3904072344303131,-0.17451976239681244,0.9802495241165161,0.5156080722808838,0.42565295100212097,-0.08691344410181046,0.9968878030776978,0.514999270439148,0.42444583773612976,0.08700506389141083,0.9834508299827576
C,0.47929859161376953,0.17162127792835236,-0.16395549476146698,0.9992850422859192,0.5059036612510681,0.2205357551574707,-0.17575713992118835,0.9999712109565735,0.5048024654388428,0.22648844122886658,0.11598316580057144,0.9910197854042053,0.5095789432525635,0.3311602771282196,0.17008134722709656,0.010205949656665325,0.5102070569992065,0.3318241238594055,-0.19470877945423126,0.995810329914093,0.4875587821006775,0.3972720801830292,0.09248605370521545,0.018017636612057686,0.469733864068985,0.39929789304733276,-0.17669543623924255,0.9796921014785767,0.5156227350234985,0.42707061767578125,-0.087618887424469,0.9968491792678833,0.5149244666099548,0.4253315031528473,0.08769291639328003,0.9834283590316772
