video,stage,shoulder_width,feet_width,knee_width,ratio_feet_shoulder,ratio_knee_feet
squat_right_1.mp4,down,0.0790015737904511,0.10488392190997,0.0991713103584102,1.3276181331294856,0.945533963189674
squat_right_1.mp4,down,0.079099959342129,0.104516168346416,0.1020529521218157,1.3213175988416748,0.9764321993087611
squat_right_1.mp4,down,0.0792280904749935,0.1035850778146269,0.1048743168826184,1.307428680832856,1.0124461852536202
squat_right_1.mp4,down,0.0790849128315851,0.1032779192474257,0.1098365177023353,1.3059117794990898,1.063504362817351
squat_right_1.mp4,down,0.0794378748699725,0.1023613907473462,0.1103283547535424,1.288571615427728,1.0778317288191275
squat_right_1.mp4,down,0.0796312326596818,0.1035236299806501,0.1116956921704689,1.3000380192917105,1.0789391001005884
squat_right_1.mp4,down,0.0797688521238133,0.104385103029567,0.1118398139189287,1.3085947741550243,1.0714154670829816
squat_right_1.mp4,down,0.0796564871171218,0.104847752514761,0.111958681137745,1.316248761517685,1.0678214692487842
squat_right_1.mp4,down,0.0798600467600683,0.1044974607096528,0.1126189704187262,1.3085073819654174,1.0777196848030508
squat_right_1.mp4,down,0.0800234991432441,0.1027456875095857,0.1126143788005,1.2839439490851094,1.0960496886060898
squat_right_1.mp4,down,0.0803593827503504,0.1022318528217905,0.1124660746831323,1.2721831517719655,1.1001079563644611
squat_right_1.mp4,down,0.0802880432824136,0.1025030778785597,0.112343065646557,1.2766916926596978,1.095996998057514
squat_right_1.mp4,down,0.0803315134338432,0.1013422447816373,0.1110319350601826,1.261550298876137,1.0956135351000338
squat_right_1.mp4,down,0.0802866788362202,0.1006337511621456,0.1105256892981635,1.2534302404939697,1.0982964266141642
squat_right_1.mp4,down,0.080215501969128,0.1006894249842388,0.1106397491748826,1.2552364881166045,1.098821938770644
squat_right_1.mp4,down,0.0802346034671323,0.1009460924734128,0.1114015830954085,1.2581366157653517,1.1035749910255266
squat_right_1.mp4,down,0.0801764790060046,0.1022547999435713,0.1126211328191873,1.2753715455116608,1.1013774696281895
squat_right_1.mp4,down,0.0802139872429602,0.1052339488889484,0.11256778447155,1.311915197161378,1.069690776218432
squat_right_1.mp4,down,0.0800886800084938,0.1057361229599993,0.1120466649982213,1.3202380529780922,1.059681988156586
squat_right_1.mp4,down,0.0797130867128098,0.1058713277106613,0.1101684479734603,1.3281549125314187,1.040588139921535
squat_right_1.mp4,down,0.0798853581317195,0.1064335464372918,0.1073678771855637,1.3323285884479374,1.0087785362749553
squat_right_1.mp4,down,0.0801169087230239,0.1062294744064053,0.1069141250278105,1.3259307691670486,1.0064450156157783
squat_right_1.mp4,down,0.0799432806023424,0.1063409845624427,0.1063635160618179,1.3302054126526155,1.0002118797326158
squat_right_1.mp4,down,0.0795509611859966,0.1074840428461099,0.1049717964081203,1.35113443311896,0.9766267962065167
squat_right_1.mp4,down,0.079144363560667,0.1080894452309522,0.1034233950596106,1.3657251175959961,0.9568315836817206
squat_right_1.mp4,down,0.0784337182106376,0.1084565979456547,0.0991748174862046,1.3827802687409154,0.914419402459028
squat_right_1.mp4,down,0.0796388947236851,0.1072973275993995,0.1011413199842159,1.3472980504272194,0.9426266454821
squat_right_1.mp4,down,0.0802604490226716,0.1073760698969346,0.0996856415759293,1.3378453672319166,0.928378563972522
squat_right_1.mp4,down,0.0804782289442913,0.1062349505751607,0.0995479301329395,1.3200458306394733,0.9370544212990416
squat_right_1.mp4,down,0.0805710410208861,0.1048519742973286,0.1007945360326477,1.3013605505003747,0.961303177247047
squat_right_1.mp4,middle,0.0815785904298025,0.1013684408296681,0.1029414839442248,1.242586324372625,1.0155180754649262
squat_right_1.mp4,up,0.07971407155581,0.1030926637894242,0.0980109251920536,1.293280618808264,0.9507070783644654
squat_right_1.mp4,up,0.0767660770590235,0.1026109348448535,0.0938898390398873,1.3366702946922575,0.9150081244445109
squat_right_1.mp4,up,0.076658893984446,0.0984935526246918,0.0829414508996287,1.2848287720492813,0.8421003069680698
squat_right_1.mp4,up,0.0788853444921438,0.0994641936429043,0.0725266833086746,1.260870371844671,0.7291737926218899
squat_right_1.mp4,up,0.0789462475775883,0.1009622993950332,0.0655256791834208,1.2788739489588477,0.6490113594485379
squat_right_1.mp4,up,0.0799818223564084,0.1020285470743932,0.0630724064486192,1.2756466915662663,0.6181839128085448
squat_right_1.mp4,up,0.0808056563900982,0.1028052182396491,0.0646794119742185,1.272252746062053,0.6291452231874497
squat_right_1.mp4,up,0.0819492470980266,0.1027026331222634,0.0645054252641435,1.2532468175017137,0.6280795662497997
squat_right_1.mp4,up,0.0822573878469612,0.1023699688946787,0.065351977697348,1.2445078986113283,0.6383901294781489
squat_right_1.mp4,up,0.0817582933272453,0.1024791013236176,0.0663975339726994,1.2534398304210597,0.6479129219041782
squat_right_1.mp4,up,0.0801992258674408,0.1026427917883245,0.0665944462070935,1.2798476628437796,0.6487980796978725
squat_right_1.mp4,up,0.0791124408320848,0.1030616614435227,0.0671564426291703,1.302723823959241,0.651614205404322
squat_right_1.mp4,up,0.0785209003810155,0.1036522350151125,0.069618803395848,1.3200591754825721,0.6716575227316379
squat_right_1.mp4,up,0.078666841556672,0.1034577394915611,0.073013031072768,1.3151378324631173,0.7057280724630908
squat_right_1.mp4,up,0.078661405400816,0.1036410812400863,0.0768877295591234,1.317559490731031,0.741865374609627
squat_right_1.mp4,up,0.0768945594695953,0.1041540781393249,0.0795320137154738,1.3545051673065145,0.7635996125767189
squat_right_1.mp4,up,0.0758854426170002,0.1045173782548196,0.0804530853710271,1.3773047194615051,0.7697579743617151
